date,medical_cpi,healthcare_employment,personal_consumption,disposable_income,unemployment,retail_sales
1947-01-01,13.2,,,,,
1947-02-01,13.3,,,,,
1947-03-01,13.3,,,,,
1947-04-01,13.4,,,,,
1947-05-01,13.5,,,,,
1947-06-01,13.5,,,,,
1947-07-01,13.5,,,,,
1947-08-01,13.6,,,,,
1947-09-01,13.7,,,,,
1947-10-01,13.8,,,,,
1947-11-01,13.8,,,,,
1947-12-01,13.9,,,,,
1948-01-01,14.0,,,,3.4,
1948-02-01,14.0,,,,3.8,
1948-03-01,14.1,,,,4.0,
1948-04-01,14.3,,,,3.9,
1948-05-01,14.3,,,,3.5,
1948-06-01,14.4,,,,3.6,
1948-07-01,14.5,,,,3.6,
1948-08-01,14.6,,,,3.9,
1948-09-01,14.5,,,,3.8,
1948-10-01,14.6,,,,3.7,
1948-11-01,14.7,,,,3.8,
1948-12-01,14.7,,,,4.0,
1949-01-01,14.7,,,,4.3,
1949-02-01,14.8,,,,4.7,
1949-03-01,14.8,,,,5.0,
1949-04-01,14.8,,,,5.3,
1949-05-01,14.8,,,,6.1,
1949-06-01,14.8,,,,6.2,
1949-07-01,14.8,,,,6.7,
1949-08-01,14.9,,,,6.8,
1949-09-01,14.9,,,,6.6,
1949-10-01,14.9,,,,7.9,
1949-11-01,14.9,,,,6.4,
1949-12-01,14.9,,,,6.6,
1950-01-01,14.9,,,,6.5,
1950-02-01,15.0,,,,6.4,
1950-03-01,14.9,,,,6.3,
1950-04-01,15.0,,,,5.8,
1950-05-01,15.0,,,,5.5,
1950-06-01,15.0,,,,5.4,
1950-07-01,15.1,,,,5.0,
1950-08-01,15.1,,,,4.5,
1950-09-01,15.2,,,,4.4,
1950-10-01,15.3,,,,4.2,
1950-11-01,15.3,,,,4.2,
1950-12-01,15.4,,,,4.3,
1951-01-01,15.4,,,,3.7,
1951-02-01,15.5,,,,3.4,
1951-03-01,15.7,,,,3.4,
1951-04-01,15.7,,,,3.1,
1951-05-01,15.8,,,,3.0,
1951-06-01,15.8,,,,3.2,
1951-07-01,15.8,,,,3.1,
1951-08-01,15.9,,,,3.1,
1951-09-01,15.9,,,,3.3,
1951-10-01,16.0,,,,3.5,
1951-11-01,16.1,,,,3.5,
1951-12-01,16.3,,,,3.1,
1952-01-01,16.3,,,,3.2,
1952-02-01,16.4,,,,3.1,
1952-03-01,16.5,,,,2.9,
1952-04-01,16.5,,,,2.9,
1952-05-01,16.5,,,,3.0,
1952-06-01,16.8,,,,3.0,
1952-07-01,16.9,,,,3.2,
1952-08-01,16.9,,,,3.4,
1952-09-01,16.9,,,,3.1,
1952-10-01,16.9,,,,3.0,
1952-11-01,16.9,,,,2.8,
1952-12-01,17.0,,,,2.7,
1953-01-01,17.0,,,,2.9,
1953-02-01,17.0,,,,2.6,
1953-03-01,17.0,,,,2.6,
1953-04-01,17.1,,,,2.7,
1953-05-01,17.2,,,,2.5,
1953-06-01,17.3,,,,2.5,
1953-07-01,17.3,,,,2.6,
1953-08-01,17.4,,,,2.7,
1953-09-01,17.5,,,,2.9,
1953-10-01,17.5,,,,3.1,
1953-11-01,17.6,,,,3.5,
1953-12-01,17.6,,,,4.5,
1954-01-01,17.6,,,,4.9,
1954-02-01,17.7,,,,5.2,
1954-03-01,17.7,,,,5.7,
1954-04-01,17.8,,,,5.9,
1954-05-01,17.8,,,,5.9,
1954-06-01,17.8,,,,5.6,
1954-07-01,17.8,,,,5.8,
1954-08-01,17.9,,,,6.0,
1954-09-01,17.9,,,,6.1,
1954-10-01,17.9,,,,5.7,
1954-11-01,18.0,,,,5.3,
1954-12-01,18.0,,,,5.0,
1955-01-01,18.0,,,,4.9,
1955-02-01,18.1,,,,4.7,
1955-03-01,18.1,,,,4.6,
1955-04-01,18.1,,,,4.7,
1955-05-01,18.2,,,,4.3,
1955-06-01,18.2,,,,4.2,
1955-07-01,18.2,,,,4.0,
1955-08-01,18.3,,,,4.2,
1955-09-01,18.3,,,,4.1,
1955-10-01,18.4,,,,4.3,
1955-11-01,18.5,,,,4.2,
1955-12-01,18.6,,,,4.2,
1956-01-01,18.6,,,,4.0,
1956-02-01,18.7,,,,3.9,
1956-03-01,18.7,,,,4.2,
1956-04-01,18.8,,,,4.0,
1956-05-01,18.8,,,,4.3,
1956-06-01,18.8,,,,4.3,
1956-07-01,18.9,,,,4.4,
1956-08-01,19.0,,,,4.1,
1956-09-01,19.1,,,,3.9,
1956-10-01,19.1,,,,3.9,
1956-11-01,19.1,,,,4.3,
1956-12-01,19.2,,,,4.2,
1957-01-01,19.3,,,,4.2,
1957-02-01,19.3,,,,3.9,
1957-03-01,19.4,,,,3.7,
1957-04-01,19.5,,,,3.9,
1957-05-01,19.6,,,,4.1,
1957-06-01,19.7,,,,4.3,
1957-07-01,19.7,,,,4.2,
1957-08-01,19.8,,,,4.1,
1957-09-01,19.8,,,,4.4,
1957-10-01,19.9,,,,4.5,
1957-11-01,20.0,,,,5.1,
1957-12-01,20.1,,,,5.2,
1958-01-01,20.2,,,,5.8,
1958-02-01,20.2,,,,6.4,
1958-03-01,20.3,,,,6.7,
1958-04-01,20.4,,,,7.4,
1958-05-01,20.5,,,,7.4,
1958-06-01,20.6,,,,7.3,
1958-07-01,20.7,,,,7.5,
1958-08-01,20.7,,,,7.4,
1958-09-01,20.9,,,,7.1,
1958-10-01,21.0,,,,6.7,
1958-11-01,21.0,,,,6.2,
1958-12-01,21.1,,,,6.2,
1959-01-01,21.1,,15.164,2318.4,6.0,
1959-02-01,21.2,,15.179,2325.4,5.9,
1959-03-01,21.3,,15.189,2338.7,5.6,
1959-04-01,21.3,,15.219,2353.8,5.2,
1959-05-01,21.4,,15.227,2366.6,5.1,
1959-06-01,21.5,,15.271,2374.5,5.0,
1959-07-01,21.5,,15.303,2370.8,5.1,
1959-08-01,21.6,,15.325,2356.8,5.2,
1959-09-01,21.7,,15.365,2357.8,5.5,
1959-10-01,21.7,,15.402,2359.5,5.7,
1959-11-01,21.8,,15.412,2376.6,5.8,
1959-12-01,21.8,,15.43,2399.7,5.3,
1960-01-01,21.9,,15.421,2404.9,5.2,
1960-02-01,22.0,,15.437,2405.3,4.8,
1960-03-01,22.1,,15.446,2408.1,5.4,
1960-04-01,22.2,,15.502,2417.3,5.2,
1960-05-01,22.2,,15.518,2422.6,5.1,
1960-06-01,22.2,,15.525,2424.9,5.4,
1960-07-01,22.3,,15.553,2428.8,5.5,
1960-08-01,22.3,,15.579,2423.3,5.6,
1960-09-01,22.4,,15.588,2426.7,5.5,
1960-10-01,22.4,,15.606,2435.6,6.1,
1960-11-01,22.5,,15.659,2425.5,6.1,
1960-12-01,22.6,,15.662,2414.6,6.6,
1961-01-01,22.6,,15.665,2437.9,6.6,
1961-02-01,22.7,,15.679,2448.1,6.9,
1961-03-01,22.7,,15.67,2458.4,6.9,
1961-04-01,22.8,,15.661,2463.4,7.0,
1961-05-01,22.8,,15.67,2483.5,7.1,
1961-06-01,22.9,,15.677,2509.1,6.9,
1961-07-01,22.9,,15.711,2517.6,7.0,
1961-08-01,23.0,,15.724,2517.7,6.6,
