date,medical_cpi,medical_cpi_last_year,yoy_pct_change
1947-01-01,13.2,,
1947-02-01,13.3,,
1947-03-01,13.3,,
1947-04-01,13.4,,
1947-05-01,13.5,,
1947-06-01,13.5,,
1947-07-01,13.5,,
1947-08-01,13.6,,
1947-09-01,13.7,,
1947-10-01,13.8,,
1947-11-01,13.8,,
1947-12-01,13.9,,
1948-01-01,14.0,13.2,6.06
1948-02-01,14.0,13.3,5.26
1948-03-01,14.1,13.3,6.02
1948-04-01,14.3,13.4,6.72
1948-05-01,14.3,13.5,5.93
1948-06-01,14.4,13.5,6.67
1948-07-01,14.5,13.5,7.41
1948-08-01,14.6,13.6,7.35
1948-09-01,14.5,13.7,5.84
1948-10-01,14.6,13.8,5.8
1948-11-01,14.7,13.8,6.52
1948-12-01,14.7,13.9,5.76
1949-01-01,14.7,14.0,5.0
1949-02-01,14.8,14.0,5.71
1949-03-01,14.8,14.1,4.96
1949-04-01,14.8,14.3,3.5
1949-05-01,14.8,14.3,3.5
1949-06-01,14.8,14.4,2.78
1949-07-01,14.8,14.5,2.07
1949-08-01,14.9,14.6,2.05
1949-09-01,14.9,14.5,2.76
1949-10-01,14.9,14.6,2.05
1949-11-01,14.9,14.7,1.36
1949-12-01,14.9,14.7,1.36
1950-01-01,14.9,14.7,1.36
1950-02-01,15.0,14.8,1.35
1950-03-01,14.9,14.8,0.68
1950-04-01,15.0,14.8,1.35
1950-05-01,15.0,14.8,1.35
1950-06-01,15.0,14.8,1.35
1950-07-01,15.1,14.8,2.03
1950-08-01,15.1,14.9,1.34
1950-09-01,15.2,14.9,2.01
1950-10-01,15.3,14.9,2.68
1950-11-01,15.3,14.9,2.68
1950-12-01,15.4,14.9,3.36
1951-01-01,15.4,14.9,3.36
1951-02-01,15.5,15.0,3.33
1951-03-01,15.7,14.9,5.37
1951-04-01,15.7,15.0,4.67
1951-05-01,15.8,15.0,5.33
1951-06-01,15.8,15.0,5.33
1951-07-01,15.8,15.1,4.64
1951-08-01,15.9,15.1,5.3
1951-09-01,15.9,15.2,4.61
1951-10-01,16.0,15.3,4.58
1951-11-01,16.1,15.3,5.23
1951-12-01,16.3,15.4,5.84
1952-01-01,16.3,15.4,5.84
1952-02-01,16.4,15.5,5.81
1952-03-01,16.5,15.7,5.1
1952-04-01,16.5,15.7,5.1
1952-05-01,16.5,15.8,4.43
1952-06-01,16.8,15.8,6.33
1952-07-01,16.9,15.8,6.96
1952-08-01,16.9,15.9,6.29
1952-09-01,16.9,15.9,6.29
1952-10-01,16.9,16.0,5.62
1952-11-01,16.9,16.1,4.97
1952-12-01,17.0,16.3,4.29
1953-01-01,17.0,16.3,4.29
1953-02-01,17.0,16.4,3.66
1953-03-01,17.0,16.5,3.03
1953-04-01,17.1,16.5,3.64
1953-05-01,17.2,16.5,4.24
1953-06-01,17.3,16.8,2.98
1953-07-01,17.3,16.9,2.37
1953-08-01,17.4,16.9,2.96
1953-09-01,17.5,16.9,3.55
1953-10-01,17.5,16.9,3.55
1953-11-01,17.6,16.9,4.14
1953-12-01,17.6,17.0,3.53
1954-01-01,17.6,17.0,3.53
1954-02-01,17.7,17.0,4.12
1954-03-01,17.7,17.0,4.12
1954-04-01,17.8,17.1,4.09
1954-05-01,17.8,17.2,3.49
1954-06-01,17.8,17.3,2.89
1954-07-01,17.8,17.3,2.89
1954-08-01,17.9,17.4,2.87
1954-09-01,17.9,17.5,2.29
1954-10-01,17.9,17.5,2.29
1954-11-01,18.0,17.6,2.27
1954-12-01,18.0,17.6,2.27
1955-01-01,18.0,17.6,2.27
1955-02-01,18.1,17.7,2.26
1955-03-01,18.1,17.7,2.26
1955-04-01,18.1,17.8,1.69
1955-05-01,18.2,17.8,2.25
1955-06-01,18.2,17.8,2.25
1955-07-01,18.2,17.8,2.25
1955-08-01,18.3,17.9,2.23
1955-09-01,18.3,17.9,2.23
1955-10-01,18.4,17.9,2.79
1955-11-01,18.5,18.0,2.78
1955-12-01,18.6,18.0,3.33
1956-01-01,18.6,18.0,3.33
1956-02-01,18.7,18.1,3.31
1956-03-01,18.7,18.1,3.31
1956-04-01,18.8,18.1,3.87
1956-05-01,18.8,18.2,3.3
1956-06-01,18.8,18.2,3.3
1956-07-01,18.9,18.2,3.85
1956-08-01,19.0,18.3,3.83
1956-09-01,19.1,18.3,4.37
1956-10-01,19.1,18.4,3.8
1956-11-01,19.1,18.5,3.24
1956-12-01,19.2,18.6,3.23
1957-01-01,19.3,18.6,3.76
1957-02-01,19.3,18.7,3.21
1957-03-01,19.4,18.7,3.74
1957-04-01,19.5,18.8,3.72
1957-05-01,19.6,18.8,4.26
1957-06-01,19.7,18.8,4.79
1957-07-01,19.7,18.9,4.23
1957-08-01,19.8,19.0,4.21
1957-09-01,19.8,19.1,3.66
1957-10-01,19.9,19.1,4.19
1957-11-01,20.0,19.1,4.71
1957-12-01,20.1,19.2,4.69
1958-01-01,20.2,19.3,4.66
1958-02-01,20.2,19.3,4.66
1958-03-01,20.3,19.4,4.64
1958-04-01,20.4,19.5,4.62
1958-05-01,20.5,19.6,4.59
1958-06-01,20.6,19.7,4.57
1958-07-01,20.7,19.7,5.08
1958-08-01,20.7,19.8,4.55
1958-09-01,20.9,19.8,5.56
1958-10-01,21.0,19.9,5.53
1958-11-01,21.0,20.0,5.0
1958-12-01,21.1,20.1,4.98
1959-01-01,21.1,20.2,4.46
1959-02-01,21.2,20.2,4.95
1959-03-01,21.3,20.3,4.93
1959-04-01,21.3,20.4,4.41
1959-05-01,21.4,20.5,4.39
1959-06-01,21.5,20.6,4.37
1959-07-01,21.5,20.7,3.86
1959-08-01,21.6,20.7,4.35
1959-09-01,21.7,20.9,3.83
1959-10-01,21.7,21.0,3.33
1959-11-01,21.8,21.0,3.81
1959-12-01,21.8,21.1,3.32
1960-01-01,21.9,21.1,3.79
1960-02-01,22.0,21.2,3.77
1960-03-01,22.1,21.3,3.76
1960-04-01,22.2,21.3,4.23
1960-05-01,22.2,21.4,3.74
1960-06-01,22.2,21.5,3.26
1960-07-01,22.3,21.5,3.72
1960-08-01,22.3,21.6,3.24
1960-09-01,22.4,21.7,3.23
1960-10-01,22.4,21.7,3.23
1960-11-01,22.5,21.8,3.21
1960-12-01,22.6,21.8,3.67
1961-01-01,22.6,21.9,3.2
1961-02-01,22.7,22.0,3.18
1961-03-01,22.7,22.1,2.71
1961-04-01,22.8,22.2,2.7
1961-05-01,22.8,22.2,2.7
1961-06-01,22.9,22.2,3.15
1961-07-01,22.9,22.3,2.69
1961-08-01,23.0,22.3,3.14
1961-09-01,23.1,22.4,3.13
1961-10-01,23.1,22.4,3.13
1961-11-01,23.1,22.5,2.67
1961-12-01,23.2,22.6,2.65
1962-01-01,23.2,22.6,2.65
1962-02-01,23.3,22.7,2.64
1962-03-01,23.4,22.7,3.08
1962-04-01,23.4,22.8,2.63
1962-05-01,23.5,22.8,3.07
1962-06-01,23.5,22.9,2.62
1962-07-01,23.6,22.9,3.06
1962-08-01,23.6,23.0,2.61
1962-09-01,23.6,23.1,2.16
1962-10-01,23.7,23.1,2.6
1962-11-01,23.7,23.1,2.6
